Class	NHP2	NHP16	NHP13	NHP7	NHP4	NHP3	NHP5	NHP14	NHP17	NHP20	NHP6	NHP18	NHP15	NHP11	All
Clostridia	93.6	12.8	27.3	78.6	41.7	87.2	48.4	41.2	32.2	17.8	56	0.238	24	31.7	37.3
"Bacteroidia"	0.0101	46.8	37.9	2.4	33.9	0.0148	29.2	18.7	8.6	29.8	21	21.5	59.7	43.1	29.4
(Unassigned)	0.427	0.213	4.44	0.218	0.531	0.926	3.35	8.14	1.12	2.09	7.45	0	1.88	4.67	12.1
Negativicutes	0.0686	30.1	6.01	0.0823	15.8	0.0384	9.92	4.91	5.61	0.00228	6.85	0.0159	4.63	10.1	5.0
Actinobacteria	0.0675	1.01	1.06	2.99	1.26	0.0276	3.07	1.57	13.8	19.4	2.86	11.1	0.816	1.22	4.1
Gammaproteobacteria	0.0202	3.38	10.6	3.33	5.71	0.0138	4.79	17.2	28.7	10.6	4.39	30.9	4.56	7.73	3.7
Bacilli	5.82	4.8	2.7	4.99	0.816	11.7	0.328	0.131	2.25	9.87	0.501	4.21	0.81	0.176	2.7
Betaproteobacteria	0.00225	0.174	0.33	0.66	0.0617	0.00295	0.104	0.263	0.889	7.17	0.0526	0	0.852	0.174	1.1
Erysipelotrichia	0.00225	0.19	0.589	2.26	0.074	0	0.172	0.961	3.29	0.1	0.106	10.6	1.17	0.104	0.9
Spirochaetia	0	0.0315	1.36	0	0.0797	0	0.117	4.51	0	0	0.244	0	0	0.15	0.7
Deltaproteobacteria	0	0.0139	0.316	0	0.00854	0	0.102	0.266	0	0	0.138	0	0.0965	0.126	0.6
Epsilonproteobacteria	0	0.504	7.19	0	0.0807	0	0.302	0.804	0.876	0	0.197	0	1.32	0.532	0.5
Alphaproteobacteria	0	0.00378	0.124	0.775	0	0.000985	0.00509	0.0727	0	0	0.00385	0.302	0.062	0.00769	0.5
Flavobacteriia	0	0.00126	0	1.29	0.0019	0	0	0	0.34	3.15	0	2.33	0	0	0.3
Verrucomicrobiae	0	0	0	0	0	0.000985	0	0	0.403	0	0	18.7	0.0327	0	0.2
Methanobacteria	0	0.00126	0.105	0	0	0	0.00509	0.372	0.863	0	0.0115	0	0.0207	0.00256	0.2
Elusimicrobia	0	0	0.00815	0	0.00664	0	0.0651	0.708	1.02	0	0.0602	0	0	0.101	0.1
Fusobacteriia	0.00112	0.00378	0	0.505	0	0.00394	0	0.000956	0	0	0	0	0.00431	0	0.1
Synergistia	0	0	0.0415	0	0	0	0	0.022	0	0	0	0	0	0	0.1
"Fibrobacteria"	0	0.0063	0.0267	0	0.0237	0	0.0336	0.0679	0	0	0.0628	0	0	0.0539	0.1
Acidobacteria_Gp4	0	0	0	0	0	0	0	0	0	0	0	0.138	0	0	0.0
Mollicutes	0	0	0.00371	0	0	0	0	0.0201	0	0	0	0	0	0	0.0
Chloroplast	0.0124	0	0.00296	1.87	0.000949	0.00985	0.00204	0.000956	0	0	0	0.0106	0.000861	0	0.0
Planctomycetia	0	0	0.00445	0	0	0	0.00102	0.00574	0	0	0.00385	0	0	0.00128	0.0
